19102,17.100000
19103,27.186111
19104,23.372661
19106,14.546547
19107,14.579125
19111,4.555824
19115,32.376937
19118,11.095298
19120,40.285641
19121,7.214286
19122,20.122222
19123,12.887566
19124,39.088547
19125,11.549537
19127,30.306233
19128,30.306233
19129,16.925023
19130,20.161031
19132,26.157407
19133,20.140123
19134,41.313222
19136,36.683167
19138,13.824809
19140,17.945988
19141,4.804233
19142,46.835283
19143,44.226852
19144,27.293651
19146,15.456019
19147,22.948148
19148,4.092593
19149,34.607468
19150,12.642788
19152,33.780229
19153,5.693122
19154,8.566245
