Wed, 4/17/2013,Away,Reds,5:30p,18
Wed, 4/17/2013,Away,Reds,7:10p,19
Thu, 4/18/2013,Home,Cardinals,7:05p,19
Fri, 4/19/2013,Home,Cardinals,7:05p,19
Sat, 4/20/2013,Home,Cardinals,7:05p,19
Sun, 4/21/2013,Home,Cardinals,8:05p,20
Mon, 4/22/2013,Home,Pirates,7:05p,19
Tue, 4/23/2013,Home,Pirates,7:05p,19
Wed, 4/24/2013,Home,Pirates,7:05p,19
Thu, 4/25/2013,Home,Pirates,1:05p,13
Fri, 4/26/2013,Away,Mets,7:10p,19
Sat, 4/27/2013,Away,Mets,1:05p,13
Sun, 4/28/2013,Away,Mets,1:10p,13
Tue, 4/30/2013,Away,Indians,7:05p,19
Wed, 5/1/2013,Away,Indians,7:05p,19
Thu, 5/2/2013,Home,Marlins,7:05p,19
Fri, 5/3/2013,Home,Marlins,7:05p,19
Sat, 5/4/2013,Home,Marlins,7:05p,19
Sun, 5/5/2013,Home,Marlins,2:35p,15
Mon, 5/6/2013,Away,Giants,10:15p,22
Tue, 5/7/2013,Away,Giants,10:15p,22
Wed, 5/8/2013,Away,Giants,3:45p,16
Thu, 5/9/2013,Away,D-backs,9:40p,22
Fri, 5/10/2013,Away,D-backs,9:40p,22
Sat, 5/11/2013,Away,D-backs,8:10p,20
Sun, 5/12/2013,Away,D-backs,4:10p,16
Tue, 5/14/2013,Home,Indians,7:05p,19
Wed, 5/15/2013,Home,Indians,1:05p,13
Fri, 5/17/2013,Home,Reds,7:05p,19
Sat, 5/18/2013,Home,Reds,4:05p,16
Sun, 5/19/2013,Home,Reds,1:35p,14
Mon, 5/20/2013,Away,Marlins,7:10p,19
Tue, 5/21/2013,Away,Marlins,7:10p,19
Wed, 5/22/2013,Away,Marlins,7:10p,19
Fri, 5/24/2013,Away,Nationals,7:05p,19
Sat, 5/25/2013,Away,Nationals,7:15p,19
Sun, 5/26/2013,Away,Nationals,1:35p,14
Mon, 5/27/2013,Away,Red Sox,7:10p,19
Tue, 5/28/2013,Away,Red Sox,7:10p,19
Wed, 5/29/2013,Home,Red Sox,7:05p,19
Thu, 5/30/2013,Home,Red Sox,7:05p,19
Fri, 5/31/2013,Home,Brewers,7:05p,19
Sat, 6/1/2013,Home,Brewers,4:05p,16
Sun, 6/2/2013,Home,Brewers,1:35p,14
Mon, 6/3/2013,Home,Marlins,7:05p,19
Tue, 6/4/2013,Home,Marlins,7:05p,19
Wed, 6/5/2013,Home,Marlins,1:05p,13
Thu, 6/6/2013,Away,Brewers,8:10p,20
