Sun, 8/18/2013,Home,Dodgers,1:35p,14
Mon, 8/19/2013,Home,Rockies,7:05p,19
Tue, 8/20/2013,Home,Rockies,7:05p,19
Wed, 8/21/2013,Home,Rockies,7:05p,19
Thu, 8/22/2013,Home,Rockies,7:05p,19
Fri, 8/23/2013,Home,D-backs,7:05p,19
Sat, 8/24/2013,Home,D-backs,7:05p,19
Sun, 8/25/2013,Home,D-backs,1:35p,14
Mon, 8/26/2013,Away,Mets,7:10p,19
Tue, 8/27/2013,Away,Mets,7:10p,19
Wed, 8/28/2013,Away,Mets,7:10p,19
Thu, 8/29/2013,Away,Mets,1:10p,13
Fri, 8/30/2013,Away,Cubs,2:20p,14
Sat, 8/31/2013,Away,Cubs,4:05p,16
Mon, 9/2/2013,Home,Nationals,7:05p,19
Tue, 9/3/2013,Home,Nationals,7:05p,19
Wed, 9/4/2013,Home,Nationals,7:05p,19
Fri, 9/6/2013,Home,Braves,7:05p,19
Sat, 9/7/2013,Home,Braves,7:05p,19
Sun, 9/8/2013,Home,Braves,1:35p,14
Tue, 9/10/2013,Home,Padres,7:05p,19
Wed, 9/11/2013,Home,Padres,7:05p,19
Thu, 9/12/2013,Home,Padres,7:05p,19
Fri, 9/13/2013,Away,Nationals,7:05p,19
Sat, 9/14/2013,Away,Nationals,7:05p,19
Sun, 9/15/2013,Away,Nationals,1:35p,14
Mon, 9/16/2013,Home,Marlins,7:05p,19
Tue, 9/17/2013,Home,Marlins,7:05p,19
Wed, 9/18/2013,Home,Marlins,7:05p,19
Fri, 9/20/2013,Home,Mets,7:05p,19
Sat, 9/21/2013,Home,Mets,7:05p,19
Sun, 9/22/2013,Home,Mets,1:35p,14
Mon, 9/23/2013,Away,Marlins,7:10p,19
Tue, 9/24/2013,Away,Marlins,7:10p,19
Wed, 9/25/2013,Away,Marlins,7:10p,19
Thu, 9/26/2013,Away,Braves,7:10p,19
Fri, 9/27/2013,Away,Braves,7:30p,20
Sat, 9/28/2013,Away,Braves,7:10p,19
Sun, 9/29/2013,Away,Braves,1:35p,14
